Aantal tarief eenheden,Voltarief incl. 9% btw,20% korting incl. 9% btw,40% korting incl. 9% btw
0,3,2.4,1.8,
1,3,2.4,1.8,
2,3,2.4,1.8,
3,3,2.4,1.8,
4,3,2.4,1.8,
5,3,2.4,1.8,
6,3,2.4,1.8,
7,3,2.4,1.8,
8,3,2.4,1.8,
9,3.3,2.64,1.98,
10,3.5,2.8,2.1,
11,3.7,2.96,2.22,
12,4,3.2,2.4,
13,4.2,3.36,2.52,
14,4.4,3.52,2.64,
15,4.6,3.68,2.76,
16,4.9,3.92,2.94,
17,5.1,4.08,3.06,
18,5.3,4.24,3.18,
19,5.5,4.4,3.3,
20,5.8,4.64,3.48,
21,6,4.8,3.6,
22,6.2,4.96,3.72,
23,6.4,5.12,3.84,
24,6.6,5.28,3.96,
25,6.9,5.52,4.14,
26,7.1,5.68,4.26,
27,7.3,5.84,4.38,
28,7.5,6,4.5,
29,7.8,6.24,4.68,
30,8,6.4,4.8,
31,8.2,6.56,4.92,
32,8.4,6.72,5.04,
33,8.7,6.96,5.22,
34,8.9,7.12,5.34,
35,9.1,7.28,5.46,
36,9.3,7.44,5.58,
37,9.6,7.68,5.76,
38,9.8,7.84,5.88,
39,10,8,6,
40,10.2,8.16,6.12,
41,10.5,8.4,6.3,
42,10.7,8.56,6.42,
43,10.9,8.72,6.54,
44,11.1,8.88,6.66,
45,11.3,9.04,6.78,
46,11.6,9.28,6.96,
47,11.8,9.44,7.08,
48,12,9.6,7.2,
49,12.2,9.76,7.32,
50,12.4,9.92,7.44,
51,12.7,10.16,7.62,
52,12.9,10.32,7.74,
53,13.1,10.48,7.86,
54,13.3,10.64,7.98,
55,13.6,10.88,8.16,
56,13.8,11.04,8.28,
57,14,11.2,8.4,
58,14.2,11.36,8.52,
59,14.4,11.52,8.64,
60,14.7,11.76,8.82,
61,14.9,11.92,8.94,
62,15.1,12.08,9.06,
63,15.3,12.24,9.18,
64,15.7,12.56,9.42,
65,15.9,12.72,9.54,
66,16.2,12.96,9.72,
67,16.4,13.12,9.84,
68,16.6,13.28,9.96,
69,16.8,13.44,10.08,
70,16.9,13.52,10.14,
71,17.1,13.68,10.26,
72,17.3,13.84,10.38,
73,17.5,14,10.5,
74,17.8,14.24,10.68,
75,18,14.4,10.8,
76,18.2,14.56,10.92,
77,18.4,14.72,11.04,
78,18.7,14.96,11.22,
79,18.9,15.12,11.34,
80,19.1,15.28,11.46,
81,19.3,15.44,11.58,
82,19.5,15.6,11.7,
83,19.7,15.76,11.82,
84,19.8,15.84,11.88,
85,20,16,12,
86,20.2,16.16,12.12,
87,20.4,16.32,12.24,
88,20.6,16.48,12.36,
89,20.8,16.64,12.48,
90,21,16.8,12.6,
91,21.1,16.88,12.66,
92,21.3,17.04,12.78,
93,21.5,17.2,12.9,
94,21.6,17.28,12.96,
95,21.8,17.44,13.08,
96,22,17.6,13.2,
97,22.1,17.68,13.26,
98,22.3,17.84,13.38,
99,22.5,18,13.5,
100,22.7,18.16,13.62,
101,22.8,18.24,13.68,
102,23,18.4,13.8,
103,23.1,18.48,13.86,
104,23.3,18.64,13.98,
105,23.4,18.72,14.04,
106,23.6,18.88,14.16,
107,23.8,19.04,14.28,
108,23.9,19.12,14.34,
109,24.1,19.28,14.46,
110,24.2,19.36,14.52,
111,24.4,19.52,14.64,
112,24.5,19.6,14.7,
113,24.7,19.76,14.82,
114,24.8,19.84,14.88,
115,25,20,15,
116,25.2,20.16,15.12,
117,25.3,20.24,15.18,
118,25.5,20.4,15.3,
119,25.6,20.48,15.36,
120,25.8,20.64,15.48,
121,25.9,20.72,15.54,
122,26,20.8,15.6,
123,26.1,20.88,15.66,
124,26.2,20.96,15.72,
125,26.3,21.04,15.78,
126,26.4,21.12,15.84,
127,26.5,21.2,15.9,
128,26.6,21.28,15.96,
129,26.7,21.36,16.02,
130,26.8,21.44,16.08,
131,26.9,21.52,16.14,
132,27,21.6,16.2,
133,27.1,21.68,16.26,
134,27.2,21.76,16.32,
135,27.3,21.84,16.38,
136,27.4,21.92,16.44,
137,27.5,22,16.5,
138,27.6,22.08,16.56,
139,27.7,22.16,16.62,
140,27.8,22.24,16.68,
141,27.9,22.32,16.74,
142,28,22.4,16.8,
143,28.1,22.48,16.86,
144,28.2,22.56,16.92,
145,28.3,22.64,16.98,
146,28.4,22.72,17.04,
147,28.5,22.8,17.1,
148,28.6,22.88,17.16,
149,28.7,22.96,17.22,
150,28.8,23.04,17.28,
151,28.9,23.12,17.34,
152,29,23.2,17.4,
153,29.1,23.28,17.46,
154,29.2,23.36,17.52,
155,29.3,23.44,17.58,
156,29.3,23.44,17.58,
157,29.4,23.52,17.64,
158,29.5,23.6,17.7,
159,29.6,23.68,17.76,
160,29.7,23.76,17.82,
161,29.8,23.84,17.88,
162,29.9,23.92,17.94,
163,30,24,18,
164,30.1,24.08,18.06,
165,30.2,24.16,18.12,
166,30.2,24.16,18.12,
167,30.3,24.24,18.18,
168,30.4,24.32,18.24,
169,30.5,24.4,18.3,
170,30.6,24.48,18.36,
171,30.7,24.56,18.42,
172,30.8,24.64,18.48,
173,30.9,24.72,18.54,
174,31,24.8,18.6,
175,31,24.8,18.6,
176,31.1,24.88,18.66,
177,31.2,24.96,18.72,
178,31.3,25.04,18.78,
179,31.4,25.12,18.84,
180,31.5,25.2,18.9,
181,31.6,25.28,18.96,
182,31.7,25.36,19.02,
183,31.8,25.44,19.08,
184,31.9,25.52,19.14,
185,31.9,25.52,19.14,
186,32,25.6,19.2,
187,32.1,25.68,19.26,
188,32.2,25.76,19.32,
189,32.3,25.84,19.38,
190,32.4,25.92,19.44,
191,32.5,26,19.5,
192,32.6,26.08,19.56,
193,32.7,26.16,19.62,
194,32.8,26.24,19.68,
195,32.8,26.24,19.68,
196,32.9,26.32,19.74,
197,33,26.4,19.8,
198,33.1,26.48,19.86,
199,33.2,26.56,19.92,
200,33.3,26.64,19.98,
