Aantal tarief eenheden,Voltarief incl. btw,20% korting incl. btw,40% korting incl. btw
0,2.3,1.84,1.38,
1,2.3,1.84,1.38,
2,2.3,1.84,1.38,
3,2.3,1.84,1.38,
4,2.3,1.84,1.38,
5,2.3,1.84,1.38,
6,2.3,1.84,1.38,
7,2.3,1.84,1.38,
8,2.3,1.84,1.38,
9,2.5,2,1.5,
10,2.7,2.16,1.62,
11,2.8,2.24,1.68,
12,3,2.4,1.8,
13,3.1,2.48,1.86,
14,3.3,2.64,1.98,
15,3.5,2.8,2.1,
16,3.6,2.88,2.16,
17,3.8,3.04,2.28,
18,4,3.2,2.4,
19,4.2,3.36,2.52,
20,4.4,3.52,2.64,
21,4.5,3.6,2.7,
22,4.7,3.76,2.82,
23,4.8,3.84,2.88,
24,5,4,3,
25,5.2,4.16,3.12,
26,5.3,4.24,3.18,
27,5.5,4.4,3.3,
28,5.7,4.56,3.42,
29,5.8,4.64,3.48,
30,6,4.8,3.6,
31,6.2,4.96,3.72,
32,6.3,5.04,3.78,
33,6.5,5.2,3.9,
34,6.7,5.36,4.02,
35,6.8,5.44,4.08,
36,7,5.6,4.2,
37,7.2,5.76,4.32,
38,7.4,5.92,4.44,
39,7.5,6,4.5,
40,7.7,6.16,4.62,
41,7.9,6.32,4.74,
42,8,6.4,4.8,
43,8.2,6.56,4.92,
44,8.3,6.64,4.98,
45,8.5,6.8,5.1,
46,8.7,6.96,5.22,
47,8.8,7.04,5.28,
48,9,7.2,5.4,
49,9.2,7.36,5.52,
50,9.3,7.44,5.58,
51,9.5,7.6,5.7,
52,9.7,7.76,5.82,
53,9.8,7.84,5.88,
54,10,8,6,
55,10.2,8.16,6.12,
56,10.3,8.24,6.18,
57,10.5,8.4,6.3,
58,10.7,8.56,6.42,
59,10.8,8.64,6.48,
60,11,8.8,6.6,
61,11.2,8.96,6.72,
62,11.3,9.04,6.78,
63,11.5,9.2,6.9,
64,11.7,9.36,7.02,
65,11.9,9.52,7.14,
66,12.1,9.68,7.26,
67,12.3,9.84,7.38,
68,12.4,9.92,7.44,
69,12.5,10,7.5,
70,12.7,10.16,7.62,
71,12.9,10.32,7.74,
72,13,10.4,7.8,
73,13.2,10.56,7.92,
74,13.3,10.64,7.98,
75,13.5,10.8,8.1,
76,13.7,10.96,8.22,
77,13.9,11.12,8.34,
78,14,11.2,8.4,
79,14.2,11.36,8.52,
80,14.4,11.52,8.64,
81,14.5,11.6,8.7,
82,14.6,11.68,8.76,
83,14.8,11.84,8.88,
84,14.9,11.92,8.94,
85,15.1,12.08,9.06,
86,15.2,12.16,9.12,
87,15.3,12.24,9.18,
88,15.5,12.4,9.3,
89,15.6,12.48,9.36,
90,15.7,12.56,9.42,
91,15.9,12.72,9.54,
92,16,12.8,9.6,
93,16.1,12.88,9.66,
94,16.3,13.04,9.78,
95,16.4,13.12,9.84,
96,16.5,13.2,9.9,
97,16.6,13.28,9.96,
98,16.8,13.44,10.08,
99,16.9,13.52,10.14,
100,17,13.6,10.2,
101,17.1,13.68,10.26,
102,17.3,13.84,10.38,
103,17.4,13.92,10.44,
104,17.5,14,10.5,
105,17.6,14.08,10.56,
106,17.7,14.16,10.62,
107,17.8,14.24,10.68,
108,17.9,14.32,10.74,
109,18.1,14.48,10.86,
110,18.2,14.56,10.92,
111,18.3,14.64,10.98,
112,18.4,14.72,11.04,
113,18.5,14.8,11.1,
114,18.7,14.96,11.22,
115,18.8,15.04,11.28,
116,18.9,15.12,11.34,
117,19,15.2,11.4,
118,19.1,15.28,11.46,
119,19.2,15.36,11.52,
120,19.4,15.52,11.64,
121,19.4,15.52,11.64,
122,19.5,15.6,11.7,
123,19.6,15.68,11.76,
124,19.7,15.76,11.82,
125,19.8,15.84,11.88,
126,19.8,15.84,11.88,
127,19.9,15.92,11.94,
128,20,16,12,
129,20.1,16.08,12.06,
130,20.2,16.16,12.12,
131,20.3,16.24,12.18,
132,20.3,16.24,12.18,
133,20.4,16.32,12.24,
134,20.5,16.4,12.3,
135,20.6,16.48,12.36,
136,20.7,16.56,12.42,
137,20.7,16.56,12.42,
138,20.8,16.64,12.48,
139,20.9,16.72,12.54,
140,21,16.8,12.6,
141,21.1,16.88,12.66,
142,21.1,16.88,12.66,
143,21.2,16.96,12.72,
144,21.3,17.04,12.78,
145,21.4,17.12,12.84,
146,21.5,17.2,12.9,
147,21.5,17.2,12.9,
148,21.6,17.28,12.96,
149,21.7,17.36,13.02,
150,21.8,17.44,13.08,
151,21.8,17.44,13.08,
152,21.9,17.52,13.14,
153,22,17.6,13.2,
154,22,17.6,13.2,
155,22.1,17.68,13.26,
156,22.2,17.76,13.32,
157,22.3,17.84,13.38,
158,22.3,17.84,13.38,
159,22.4,17.92,13.44,
160,22.5,18,13.5,
161,22.5,18,13.5,
162,22.6,18.08,13.56,
163,22.7,18.16,13.62,
164,22.7,18.16,13.62,
165,22.8,18.24,13.68,
166,22.9,18.32,13.74,
167,22.9,18.32,13.74,
168,23,18.4,13.8,
169,23.1,18.48,13.86,
170,23.1,18.48,13.86,
171,23.2,18.56,13.92,
172,23.3,18.64,13.98,
173,23.3,18.64,13.98,
174,23.4,18.72,14.04,
175,23.5,18.8,14.1,
176,23.5,18.8,14.1,
177,23.6,18.88,14.16,
178,23.7,18.96,14.22,
179,23.7,18.96,14.22,
180,23.8,19.04,14.28,
181,23.9,19.12,14.34,
182,23.9,19.12,14.34,
183,24,19.2,14.4,
184,24.1,19.28,14.46,
185,24.1,19.28,14.46,
186,24.2,19.36,14.52,
187,24.3,19.44,14.58,
188,24.3,19.44,14.58,
189,24.4,19.52,14.64,
190,24.5,19.6,14.7,
191,24.5,19.6,14.7,
192,24.6,19.68,14.76,
193,24.7,19.76,14.82,
194,24.7,19.76,14.82,
195,24.8,19.84,14.88,
196,24.9,19.92,14.94,
197,24.9,19.92,14.94,
198,25,20,15,
199,25.1,20.08,15.06,
200,25.1,20.08,15.06,
